time,x_pos,y_pos,velocity,rotation,action
0,0.728369,4.37296,0,5.27648,0
0.0722444,0.748631,4.37115,0.216705,0,0
0.123329,0.76867,4.36933,0.306468,0,0
0.165039,0.78849,4.36749,0.375345,0,0
0.201161,0.808093,4.36564,0.433411,0,0
0.23347,0.827484,4.36378,0.484568,0,0
0.262964,0.846667,4.3619,0.530818,0,0
0.29027,0.865646,4.36,0.573349,0,0
0.315812,0.884423,4.35809,0.612936,0,0
0.339893,0.903003,4.35616,0.650116,0,0
0.362739,0.92139,4.35421,0.685283,0,0
0.384522,0.939588,4.35225,0.718731,0,0
0.405377,0.9576,4.35027,0.75069,0,0
0.425414,0.97543,4.34827,0.781343,0,0
0.444722,0.993081,4.34625,0.810838,0,0
0.463375,1.01056,4.34422,0.839297,0,0
0.481436,1.02787,4.34217,0.866822,0,0
0.498958,1.045,4.3401,0.8935,0,0
0.515986,1.06198,4.33801,0.919403,0,0
0.53256,1.0788,4.3359,0.944597,0,0
0.548715,1.09546,4.33377,0.969136,0,0
0.56448,1.11197,4.33162,0.993069,0,0
0.579882,1.12833,4.32946,1.01644,0,0
0.594946,1.14455,4.32727,1.03928,0,0
0.609693,1.16063,4.32506,1.06164,0,0
0.624142,1.17657,4.32283,1.08353,0,0
0.63831,1.19238,4.32058,1.10499,0,0
0.652214,1.20806,4.31831,1.12603,0,0
0.665867,1.22361,4.31602,1.1467,0,0
0.679282,1.23904,4.3137,1.16699,0,0
0.692472,1.25436,4.31136,1.18694,0,0
0.705448,1.26956,4.309,1.20657,0,0
0.718219,1.28465,4.30662,1.22587,0,0
0.730795,1.29963,4.30421,1.24488,0,0
0.743185,1.31451,4.30178,1.2636,0,0
0.755396,1.32929,4.29933,1.28205,0,0
0.767437,1.34398,4.29685,1.30023,0,0
0.779314,1.35858,4.29435,1.31817,0,0
0.791034,1.37309,4.29183,1.33586,0,0
0.802602,1.38751,4.28928,1.35333,0,0
0.814025,1.40185,4.2867,1.37057,0,0
0.825307,1.41612,4.2841,1.38759,0,0
0.836455,1.43032,4.28147,1.40441,0,0
0.847472,1.44445,4.27882,1.42103,0,0
0.858363,1.45851,4.27614,1.43746,0,0
0.869133,1.47251,4.27344,1.4537,0,0
0.879785,1.48645,4.27071,1.46977,0,0
0.890323,1.50034,4.26795,1.48566,0,0
0.90075,1.51418,4.26516,1.50138,0,0
0.911071,1.52798,4.26235,1.51694,0,0
0.921288,1.54173,4.25951,1.53234,0,0
0.931404,1.55544,4.25664,1.54759,0,0
0.941621,1.56912,4.25374,1.53234,0,0
0.951942,1.58277,4.25082,1.51694,0,0
0.962369,1.59639,4.24786,1.50138,0,0
0.972907,1.60999,4.24488,1.48566,0,0
0.983559,1.62357,4.24186,1.46977,0,0
0.994328,1.63713,4.23882,1.4537,0,0
1.00522,1.65068,4.23574,1.43746,0,0
1.01624,1.66422,4.23264,1.42103,0,0
1.02738,1.67776,4.2295,1.40441,0,0
1.03867,1.6913,4.22634,1.38759,0,0
1.05009,1.70484,4.22314,1.37057,0,0
1.06166,1.71838,4.21991,1.35333,0,0
1.07338,1.73194,4.21665,1.33586,0,0
1.08525,1.74551,4.21336,1.31817,0,0
1.0973,1.7591,4.21003,1.30023,0,0
1.10951,1.77271,4.20668,1.28205,0,0
1.1219,1.78635,4.20329,1.2636,0,0
1.13447,1.80002,4.19986,1.24488,0,0
1.14724,1.81372,4.19641,1.22587,0,0
1.16022,1.82746,4.19292,1.20657,0,0
1.17341,1.84123,4.18939,1.18694,0,0
1.18683,1.85506,4.18583,1.16699,0,0
1.20048,1.86893,4.18224,1.1467,0,0
1.21438,1.88285,4.17861,1.12603,0,0
1.22855,1.89683,4.17495,1.10499,0,0
1.243,1.91087,4.17125,1.08353,0,0
1.25775,1.92497,4.16751,1.06164,0,0
1.27281,1.93914,4.16374,1.03928,0,0
1.28821,1.95338,4.15994,1.01644,0,0
1.30398,1.9677,4.15609,0.993069,0,0
1.32013,1.9821,4.15221,0.969136,0,0
1.33671,1.99657,4.1483,0.944597,0,0
1.35373,2.01113,4.14434,0.919403,0,0
1.37126,2.02579,4.14035,0.8935,0,0
1.38932,2.04053,4.13632,0.866822,0,0
1.40797,2.05538,4.13225,0.839297,0,0
1.42728,2.07032,4.12814,0.810838,0,0
1.44731,2.08537,4.124,0.781343,0,0
1.46817,2.10053,4.11981,0.75069,0,0
1.48995,2.11581,4.11559,0.718731,0,0
1.5128,2.13119,4.11133,0.685283,0,0
1.53688,2.1467,4.10702,0.650116,0,0
1.56242,2.16233,4.10268,0.612936,0,0
1.58973,2.17809,4.0983,0.573349,0,0
1.61922,2.19399,4.09387,0.530818,0,0
1.65153,2.21001,4.08941,0.484568,0,0
1.68765,2.22618,4.0849,0.433411,0,0
1.72936,2.24249,4.08035,0.375345,0,0
1.78045,2.25894,4.07576,0.306468,0,0
1.85269,2.27555,4.07113,0.216705,0,0
1.85269,2.29231,4.06645,0,5.27642,0
1.92492,2.28245,4.06937,0.216705,5.27642,0
1.97599,2.27239,4.07231,0.306468,5.27642,0
2.01769,2.26214,4.07529,0.375345,5.27642,0
2.0538,2.2517,4.07831,0.433411,5.27642,0
2.0861,2.24107,4.08135,0.484568,5.27642,0
2.11559,2.23026,4.08443,0.530818,5.27642,0
2.14289,2.21926,4.08753,0.573349,5.27642,0
2.16842,2.20809,4.09066,0.612936,5.27642,0
2.1925,2.19673,4.09382,0.650116,5.27642,0
2.21534,2.1852,4.09701,0.685283,5.27642,0
2.23711,2.1735,4.10022,0.718731,5.27642,0
2.25796,2.16163,4.10346,0.75069,5.27642,0
2.278,2.14959,4.10672,0.781343,5.27642,0
2.2973,2.13739,4.11,0.810838,5.27642,0
2.31595,2.12503,4.1133,0.839297,5.27642,0
2.334,2.1125,4.11663,0.866822,5.27642,0
2.35152,2.09982,4.11998,0.8935,5.27642,0
2.36855,2.08699,4.12334,0.919403,5.27642,0
2.38511,2.07401,4.12672,0.944597,5.27642,0
2.40126,2.06087,4.13012,0.969136,5.27642,0
2.41703,2.04759,4.13353,0.993069,5.27642,0
2.43242,2.03417,4.13697,1.01644,5.27642,0
2.44748,2.0206,4.14041,1.03928,5.27642,0
2.46223,2.0069,4.14387,1.06164,5.27642,0
2.47667,1.99307,4.14734,1.08353,5.27642,0
2.49084,1.97909,4.15082,1.10499,5.27642,0
2.50474,1.96499,4.15431,1.12603,5.27642,0
2.51839,1.95077,4.15781,1.1467,5.27642,0
2.5318,1.93641,4.16132,1.16699,5.27642,0
2.54499,1.92194,4.16484,1.18694,5.27642,0
2.55796,1.90734,4.16836,1.20657,5.27642,0
2.57073,1.89263,4.17189,1.22587,5.27642,0
2.5833,1.8778,4.17543,1.24488,5.27642,0
2.59569,1.86286,4.17897,1.2636,5.27642,0
2.60789,1.84782,4.18251,1.28205,5.27642,0
2.61993,1.83266,4.18605,1.30023,5.27642,0
2.6318,1.8174,4.1896,1.31817,5.27642,0
2.64352,1.80204,4.19314,1.33586,5.27642,0
2.65509,1.78658,4.19668,1.35333,5.27642,0
2.66651,1.77103,4.20022,1.37057,5.27642,0
2.67779,1.75538,4.20376,1.38759,5.27642,0
2.68893,1.73964,4.2073,1.40441,5.27642,0
