time,x_pos,y_pos,velocity,rotation,action
0,1.40705,7.22012,0,0,0
0.072267,1.40964,7.22,0.216645,6.11335,0
0.123368,1.41242,7.21989,0.306382,6.11335,0
0.165091,1.41538,7.2198,0.375239,6.11335,0
0.201224,1.41851,7.21971,0.433289,6.11335,0
0.233543,1.42183,7.21964,0.484432,6.11335,0
0.263046,1.42533,7.21958,0.530669,6.11335,0
0.29036,1.42901,7.21953,0.573188,6.11335,0
0.315911,1.43286,7.21949,0.612764,6.11335,0
0.34,1.43689,7.21946,0.649934,6.11335,0
0.362853,1.4411,7.21944,0.685091,6.11335,0
0.384642,1.44548,7.21943,0.718529,6.11335,0
0.405504,1.45003,7.21943,0.750479,6.11335,0
0.425547,1.45476,7.21944,0.781123,6.11335,0
0.444861,1.45966,7.21947,0.81061,6.11335,0
0.46352,1.46473,7.2195,0.839061,6.11335,0
0.481587,1.46997,7.21954,0.866579,6.11335,0
0.499114,1.47538,7.2196,0.893249,6.11335,0
0.516148,1.48096,7.21966,0.919145,6.11335,0
0.532727,1.48671,7.21973,0.944332,6.11335,0
0.548886,1.49262,7.21982,0.968864,6.11335,0
0.564656,1.4987,7.21991,0.99279,6.11335,0
0.580064,1.50495,7.22001,1.01615,6.11335,0
0.595133,1.51135,7.22012,1.03899,6.11335,0
0.609884,1.51793,7.22025,1.06134,6.11335,0
0.624337,1.52466,7.22038,1.08322,6.11335,0
0.63851,1.53156,7.22052,1.10468,6.11335,0
0.652418,1.53861,7.22067,1.12572,6.11335,0
0.666075,1.54583,7.22083,1.14638,6.11335,0
0.679495,1.5532,7.221,1.16667,6.11335,0
0.692689,1.56074,7.22118,1.18661,6.11335,0
0.705668,1.56842,7.22137,1.20623,6.11335,0
0.718444,1.57627,7.22156,1.22553,6.11335,0
0.731024,1.58427,7.22177,1.24453,6.11335,0
0.743417,1.59243,7.22198,1.26324,6.11335,0
0.755633,1.60074,7.2222,1.28169,6.11335,0
0.767677,1.6092,7.22244,1.29987,6.11335,0
0.779558,1.61781,7.22268,1.3178,6.11335,0
0.791281,1.62657,7.22292,1.33549,6.11335,0
0.802853,1.63549,7.22318,1.35295,6.11335,0
0.814279,1.64455,7.22345,1.37018,6.11335,0
0.825566,1.65376,7.22372,1.3872,6.11335,0
0.836717,1.66312,7.224,1.40402,6.11335,0
0.847737,1.67263,7.22429,1.42063,6.11335,0
0.858632,1.68228,7.22459,1.43706,6.11335,0
0.869405,1.69207,7.2249,1.4533,6.11335,0
0.88006,1.70201,7.22521,1.46936,6.11335,0
0.890601,1.71209,7.22554,1.48524,6.11335,0
0.901032,1.72232,7.22587,1.50096,6.11335,0
0.911356,1.73268,7.22621,1.51651,6.11335,0
0.921576,1.74319,7.22655,1.53191,6.11335,0
0.931696,1.75383,7.22691,1.54715,6.11335,0
0.941717,1.76461,7.22727,1.56225,6.11335,0
0.951644,1.77553,7.22763,1.5772,6.11335,0
0.961478,1.78659,7.22801,1.59201,6.11335,0
0.971223,1.79778,7.22839,1.60668,6.11335,0
0.98088,1.80911,7.22878,1.62122,6.11335,0
0.990452,1.82057,7.22918,1.63563,6.11335,0
0.999941,1.83216,7.22958,1.64992,6.11335,0
1.00935,1.84389,7.23,1.66408,6.11335,0
1.01868,1.85575,7.23042,1.67812,6.11335,0
1.02793,1.86774,7.23084,1.69205,6.11335,0
1.03711,1.87985,7.23127,1.70586,6.11335,0
1.04621,1.8921,7.23171,1.71956,6.11335,0
1.05525,1.90448,7.23216,1.73316,6.11335,0
1.06421,1.91698,7.23261,1.74664,6.11335,0
1.07311,1.9296,7.23307,1.76003,6.11335,0
1.08194,1.94236,7.23353,1.77331,6.11335,0
1.0907,1.95523,7.234,1.7865,6.11335,0
1.0994,1.96823,7.23448,1.79959,6.11335,0
1.10804,1.98136,7.23497,1.81258,6.11335,0
1.11661,1.9946,7.23546,1.82548,6.11335,0
1.12513,2.00796,7.23595,1.83829,6.11335,0
1.13359,2.02145,7.23645,1.85101,6.11335,0
1.14199,2.03505,7.23696,1.86365,6.11335,0
1.15033,2.04877,7.23748,1.8762,6.11335,0
