time,x_pos,y_pos,velocity,rotation,action
0,0.43055,2.02043,0,0,0
0.051207,0.446478,2.02039,0.307242,0,0
0.0874158,0.462475,2.02034,0.434506,0,0
0.11698,0.478538,2.02029,0.532159,0,0
0.142584,0.494667,2.02024,0.614484,0,0
0.165484,0.510859,2.02019,0.687014,0,0
0.186389,0.527113,2.02014,0.752586,0,0
0.205744,0.543428,2.02009,0.812886,0,0
0.223848,0.559801,2.02003,0.869012,0,0
0.240917,0.576231,2.01997,0.921726,0,0
0.25711,0.592717,2.01992,0.971585,0,0
0.27255,0.609257,2.01986,1.01901,0,0
0.287332,0.625849,2.0198,1.06432,0,0
0.301534,0.642492,2.01974,1.10778,0,0
0.31522,0.659184,2.01968,1.14959,0,0
0.328442,0.675923,2.01962,1.18994,0,0
0.341243,0.692708,2.01955,1.22897,0,0
0.353663,0.709538,2.01949,1.26679,0,0
0.365732,0.72641,2.01943,1.30352,0,0
0.37748,0.743324,2.01936,1.33924,0,0
0.38893,0.760276,2.01929,1.37403,0,0
0.400105,0.777267,2.01923,1.40796,0,0
0.411022,0.794294,2.01916,1.44109,0,0
0.421699,0.811355,2.01909,1.47348,0,0
0.432152,0.82845,2.01903,1.50517,0,0
0.442393,0.845576,2.01896,1.53621,0,0
0.452436,0.862731,2.01889,1.56663,0,0
0.462291,0.879915,2.01882,1.59648,0,0
0.471968,0.897126,2.01875,1.62577,0,0
0.481477,0.914361,2.01868,1.65455,0,0
0.490826,0.93162,2.01861,1.68283,0,0
0.500023,0.9489,2.01854,1.71065,0,0
0.509075,0.966201,2.01846,1.73802,0,0
0.517989,0.98352,2.01839,1.76497,0,0
0.526771,1.00086,2.01832,1.79151,0,0
0.535427,1.01821,2.01825,1.81767,0,0
0.543961,1.03557,2.01818,1.84345,0,0
0.55238,1.05295,2.01811,1.86888,0,0
0.560687,1.07034,2.01804,1.89397,0,0
0.568886,1.08773,2.01797,1.91873,0,0
0.576983,1.10514,2.0179,1.94317,0,0
0.58498,1.12255,2.01783,1.96731,0,0
0.592881,1.13996,2.01775,1.99116,0,0
0.60069,1.15738,2.01768,2.01472,0,0
0.60841,1.17479,2.01762,2.03801,0,0
0.616044,1.19221,2.01755,2.06104,0,0
0.623594,1.20962,2.01748,2.08382,0,0
0.631063,1.22703,2.01741,2.10635,0,0
0.638454,1.24444,2.01734,2.12864,0,0
0.645769,1.26183,2.01727,2.15069,0,0
0.653011,1.27922,2.01721,2.17253,0,0
0.660182,1.2966,2.01714,2.19415,0,0
0.667283,1.31397,2.01708,2.21555,0,0
0.674317,1.33132,2.01701,2.23676,0,0
0.681285,1.34866,2.01695,2.25776,0,0
0.68819,1.36598,2.01688,2.27857,0,0
0.695033,1.38328,2.01682,2.29919,0,0
0.701815,1.40056,2.01676,2.31963,0,0
0.708539,1.41782,2.0167,2.33989,0,0
0.715205,1.43505,2.01664,2.35997,0,0
0.721816,1.45227,2.01658,2.37989,0,0
0.728373,1.46945,2.01653,2.39964,0,0
0.734876,1.48661,2.01647,2.41923,0,0
0.741327,1.50374,2.01642,2.43866,0,0
0.747728,1.52083,2.01636,2.45794,0,0
0.75408,1.53789,2.01631,2.47707,0,0
0.760383,1.55492,2.01626,2.49605,0,0
0.766639,1.57191,2.01621,2.51489,0,0
0.772942,1.58887,2.01616,2.49605,0,0
0.779293,1.60578,2.01612,2.47707,0,0
0.785694,1.62266,2.01607,2.45794,0,0
0.792146,1.63949,2.01603,2.43866,0,0
0.798649,1.65628,2.01599,2.41923,0,0
0.805205,1.67302,2.01594,2.39964,0,0
0.811816,1.68971,2.01591,2.37989,0,0
0.818483,1.70636,2.01587,2.35997,0,0
0.825207,1.72295,2.01583,2.33989,0,0
0.831989,1.73949,2.0158,2.31963,0,0
0.838832,1.75598,2.01577,2.29919,0,0
0.845737,1.77241,2.01574,2.27857,0,0
0.852705,1.78879,2.01571,2.25776,0,0
0.859739,1.80511,2.01569,2.23676,0,0
0.86684,1.82136,2.01566,2.21555,0,0
0.874011,1.83756,2.01564,2.19415,0,0
0.881252,1.85369,2.01562,2.17253,0,0
0.888568,1.86976,2.0156,2.15069,0,0
0.895959,1.88576,2.01559,2.12864,0,0
0.903428,1.90169,2.01557,2.10635,0,0
0.910978,1.91755,2.01556,2.08382,0,0
0.918611,1.93334,2.01555,2.06104,0,0
0.926331,1.94905,2.01555,2.03801,0,0
0.93414,1.9647,2.01554,2.01472,0,0
0.942042,1.98026,2.01554,1.99116,0,0
0.950039,1.99575,2.01554,1.96731,0,0
0.958135,2.01116,2.01555,1.94317,0,0
0.966335,2.02648,2.01555,1.91873,0,0
0.974642,2.04173,2.01556,1.89397,0,0
0.98306,2.05689,2.01558,1.86888,0,0
0.991595,2.07196,2.01559,1.84345,0,0
1.00025,2.08695,2.01561,1.81767,0,0
1.00903,2.10184,2.01563,1.79151,0,0
1.01795,2.11665,2.01565,1.76497,0,0
1.027,2.13136,2.01568,1.73802,0,0
1.0362,2.14598,2.0157,1.71065,0,0
1.04554,2.1605,2.01574,1.68283,0,0
1.05505,2.17493,2.01577,1.65455,0,0
1.06473,2.18926,2.01581,1.62577,0,0
1.07459,2.20348,2.01585,1.59648,0,0
1.08463,2.21761,2.01589,1.56663,0,0
1.09487,2.23163,2.01594,1.53621,0,0
1.10532,2.24554,2.01599,1.50517,0,0
1.116,2.25935,2.01604,1.47348,0,0
1.12692,2.27305,2.0161,1.44109,0,0
1.13809,2.28664,2.01616,1.40796,0,0
1.14954,2.30012,2.01623,1.37403,0,0
1.16129,2.31348,2.01629,1.33924,0,0
1.17336,2.32673,2.01636,1.30352,0,0
1.18578,2.33987,2.01644,1.26679,0,0
1.19858,2.35288,2.01652,1.22897,0,0
1.2118,2.36578,2.0166,1.18994,0,0
1.22549,2.37855,2.01668,1.14959,0,0
1.23969,2.3912,2.01677,1.10778,0,0
1.25447,2.40373,2.01686,1.06432,0,0
1.26991,2.41613,2.01696,1.01901,0,0
1.2861,2.4284,2.01706,0.971585,0,0
1.30317,2.44054,2.01717,0.921726,0,0
1.32128,2.45255,2.01727,0.869012,0,0
1.34063,2.46443,2.01739,0.812886,0,0
1.36154,2.47618,2.0175,0.752586,0,0
1.38444,2.48778,2.01762,0.687014,0,0
1.41004,2.49925,2.01775,0.614484,0,0
1.43961,2.51059,2.01788,0.532159,0,0
1.47581,2.52178,2.01801,0.434506,0,0
1.52702,2.53283,2.01815,0.307242,0,0
