time,x_pos,y_pos,velocity,rotation,action
0,1.32,5.39,0,0,0
0.0510815,1.35004,5.39731,0.306429,6.0212,0
0.0872016,1.37988,5.40443,0.433355,6.0212,0
0.116694,1.40952,5.41137,0.53075,6.0212,0
0.142234,1.43896,5.41812,0.612857,6.0212,0
0.165079,1.4682,5.4247,0.685195,6.0212,0
0.185933,1.49725,5.43109,0.750594,6.0212,0
0.20524,1.52611,5.4373,0.810734,6.0212,0
0.2233,1.55477,5.44333,0.866711,6.0212,0
0.240327,1.58323,5.44919,0.919286,6.0212,0
0.25648,1.61151,5.45487,0.969012,6.0212,0
0.271882,1.63959,5.46037,1.01631,6.0212,0
0.286628,1.66748,5.46571,1.0615,6.0212,0
0.300795,1.69519,5.47086,1.10484,6.0212,0
0.314447,1.7227,5.47585,1.14655,6.0212,0
0.327637,1.75003,5.48066,1.18679,6.0212,0
0.340407,1.77717,5.48531,1.22571,6.0212,0
0.352796,1.80412,5.48979,1.26344,6.0212,0
0.364836,1.83089,5.4941,1.30007,6.0212,0
0.376555,1.85747,5.49824,1.33569,6.0212,0
0.387977,1.88387,5.50222,1.37039,6.0212,0
0.399124,1.91009,5.50604,1.40423,6.0212,0
0.410015,1.93613,5.50969,1.43728,6.0212,0
0.420666,1.96198,5.51318,1.46958,6.0212,0
0.431093,1.98766,5.51651,1.50119,6.0212,0
0.441309,2.01316,5.51968,1.53214,6.0212,0
0.451327,2.03847,5.52269,1.56249,6.0212,0
0.461158,2.06362,5.52555,1.59225,6.0212,0
0.470811,2.08858,5.52825,1.62147,6.0212,0
0.480297,2.11337,5.53079,1.65017,6.0212,0
0.489623,2.13799,5.53319,1.67838,6.0212,0
0.498797,2.16243,5.53543,1.70612,6.0212,0
0.507828,2.1867,5.53751,1.73342,6.0212,0
0.51672,2.2108,5.53945,1.7603,6.0212,0
0.52548,2.23473,5.54124,1.78677,6.0212,0
0.534114,2.25848,5.54288,1.81286,6.0212,0
0.542628,2.28207,5.54437,1.83857,6.0212,0
0.551026,2.30549,5.54572,1.86393,6.0212,0
0.559312,2.32874,5.54692,1.88895,6.0212,0
0.567492,2.35183,5.54798,1.91365,6.0212,0
0.575569,2.37475,5.5489,1.93802,6.0212,0
0.583546,2.39751,5.54968,1.9621,6.0212,0
0.591428,2.4201,5.55031,1.98588,6.0212,0
0.599218,2.44253,5.55081,2.00939,6.0212,0
0.606919,2.46479,5.55117,2.03262,6.0212,0
0.614534,2.4869,5.5514,2.05558,6.0212,0
0.622065,2.50885,5.55148,2.0783,6.0212,0
0.629516,2.53063,5.55144,2.10077,6.0212,0
0.636889,2.55226,5.55126,2.123,6.0212,0
0.644187,2.57373,5.55095,2.145,6.0212,0
0.651411,2.59505,5.5505,2.16678,6.0212,0
0.658563,2.61621,5.54993,2.18834,6.0212,0
0.665647,2.63721,5.54923,2.20969,6.0212,0
0.672664,2.65806,5.5484,2.23083,6.0212,0
0.679615,2.67876,5.54744,2.25178,6.0212,0
0.686503,2.6993,5.54636,2.27253,6.0212,0
0.693329,2.7197,5.54516,2.2931,6.0212,0
0.700095,2.73994,5.54383,2.31348,6.0212,0
0.706802,2.76003,5.54238,2.33369,6.0212,0
0.713452,2.77998,5.54081,2.35372,6.0212,0
0.720047,2.79978,5.53912,2.37358,6.0212,0
0.726587,2.81943,5.53731,2.39328,6.0212,0
0.733075,2.83893,5.53539,2.41282,6.0212,0
0.73951,2.85829,5.53335,2.4322,6.0212,0
0.745896,2.87751,5.53119,2.45143,6.0212,0
0.752231,2.89658,5.52892,2.47051,6.0212,0
0.758519,2.91551,5.52654,2.48944,6.0212,0
0.76476,2.9343,5.52404,2.50823,6.0212,0
0.770954,2.95295,5.52144,2.52687,6.0212,0
0.777104,2.97146,5.51872,2.54539,6.0212,0
0.783209,2.98983,5.5159,2.56377,6.0212,0
0.789271,3.00806,5.51297,2.58201,6.0212,0
0.795291,3.02615,5.50993,2.60013,6.0212,0
0.80127,3.04411,5.50679,2.61813,6.0212,0
0.807208,3.06194,5.50355,2.636,6.0212,0
0.813107,3.07963,5.5002,2.65375,6.0212,0
0.818966,3.09718,5.49675,2.67138,6.0212,0
0.824787,3.11461,5.4932,2.6889,6.0212,0
0.830571,3.1319,5.48955,2.7063,6.0212,0
0.836318,3.14906,5.48581,2.7236,6.0212,0
0.842029,3.16609,5.48197,2.74078,6.0212,0
0.847705,3.183,5.47803,2.75786,6.0212,0
0.853346,3.19977,5.47399,2.77483,6.0212,0
0.858953,3.21642,5.46987,2.7917,6.0212,0
0.864527,3.23294,5.46565,2.80846,6.0212,0
0.870067,3.24934,5.46134,2.82513,6.0212,0
0.875575,3.26561,5.45694,2.8417,6.0212,0
0.881052,3.28176,5.45245,2.85817,6.0212,0
0.886497,3.29779,5.44787,2.87455,6.0212,0
0.891912,3.31369,5.44321,2.89084,6.0212,0
0.897296,3.32947,5.43846,2.90704,6.0212,0
0.902651,3.34514,5.43363,2.92314,6.0212,0
0.907977,3.36068,5.42871,2.93916,6.0212,0
0.913274,3.37611,5.42371,2.95509,6.0212,0
0.918542,3.39141,5.41863,2.97093,6.0212,0
0.923783,3.40661,5.41347,2.9867,6.0212,0
0.928997,3.42168,5.40823,3.00237,6.0212,0
0.934183,3.43665,5.40291,3.01797,6.0212,0
0.939343,3.45149,5.39752,3.03349,6.0212,0
0.944477,3.46623,5.39205,3.04893,6.0212,0
0.949585,3.48085,5.38651,3.06429,6.0212,0
0.954668,3.49537,5.3809,3.07957,6.0212,0
0.959726,3.50977,5.37521,3.09478,6.0212,0
0.964759,3.52406,5.36945,3.10991,6.0212,0
0.969768,3.53825,5.36362,3.12497,6.0212,0
0.974753,3.55232,5.35773,3.13996,6.0212,0
0.979715,3.56629,5.35177,3.15487,6.0212,0
0.984653,3.58016,5.34574,3.16972,6.0212,0
0.989568,3.59392,5.33964,3.1845,6.0212,0
0.994461,3.60758,5.33348,3.19921,6.0212,0
0.999331,3.62113,5.32726,3.21385,6.0212,0
1.00418,3.63458,5.32098,3.22842,6.0212,0
1.00901,3.64793,5.31463,3.24293,6.0212,0
1.01381,3.66118,5.30823,3.25738,6.0212,0
1.0186,3.67433,5.30177,3.27176,6.0212,0
1.02336,3.68738,5.29525,3.28608,6.0212,0
1.0281,3.70034,5.28868,3.30034,6.0212,0
1.03282,3.71319,5.28205,3.31453,6.0212,0
1.03753,3.72596,5.27536,3.32867,6.0212,0
1.04221,3.73862,5.26863,3.34274,6.0212,0
1.04687,3.75119,5.26184,3.35676,6.0212,0
1.05152,3.76367,5.255,3.37071,6.0212,0
1.05614,3.77606,5.24812,3.38461,6.0212,0
1.06075,3.78836,5.24118,3.39846,6.0212,0
1.06533,3.80056,5.2342,3.41224,6.0212,0
1.0699,3.81268,5.22717,3.42597,6.0212,0
1.07445,3.8247,5.2201,3.43965,6.0212,0
1.07899,3.83664,5.21298,3.45327,6.0212,0
1.0835,3.84849,5.20583,3.46684,6.0212,0
1.088,3.86026,5.19863,3.48036,6.0212,0
1.09248,3.87194,5.19139,3.49382,6.0212,0
1.09694,3.88354,5.18411,3.50723,6.0212,0
1.10139,3.89505,5.17679,3.5206,6.0212,0
1.10582,3.90648,5.16944,3.53391,6.0212,0
1.11023,3.91783,5.16205,3.54717,6.0212,0
1.11463,3.9291,5.15463,3.56038,6.0212,0
1.11901,3.94029,5.14717,3.57354,6.0212,0
1.12337,3.9514,5.13968,3.58665,6.0212,0
1.12772,3.96243,5.13216,3.59972,6.0212,0
1.13205,3.97338,5.12461,3.61274,6.0212,0
1.13637,3.98426,5.11703,3.62571,6.0212,0
1.14067,3.99507,5.10943,3.63864,6.0212,0
1.14496,4.0058,5.1018,3.65152,6.0212,0
1.14923,4.01645,5.09414,3.66435,6.0212,0
1.15349,4.02703,5.08646,3.67714,6.0212,0
1.15773,4.03754,5.07875,3.68989,6.0212,0
1.16196,4.04798,5.07102,3.70259,6.0212,0
1.16617,4.05835,5.06327,3.71525,6.0212,0
1.17037,4.06865,5.05551,3.72786,6.0212,0
1.17455,4.07889,5.04772,3.74044,6.0212,0
1.17872,4.08905,5.03992,3.75297,6.0212,0
1.18288,4.09915,5.0321,3.76546,6.0212,0
