time,x_pos,y_pos,velocity,rotation,action
0,1.25,6.23,0,0.505098,0
0.0723953,1.25938,6.22528,0.217247,0,0
0.123586,1.26903,6.22042,0.307234,0,0
0.165384,1.27897,6.21543,0.376284,0,0
0.201582,1.28918,6.2103,0.434495,0,0
0.233958,1.29966,6.20504,0.48578,0,0
0.263513,1.31039,6.19965,0.532145,0,0
0.290876,1.32138,6.19413,0.574783,0,0
0.316471,1.33262,6.18849,0.614469,0,0
0.340603,1.3441,6.18272,0.651742,0,0
0.363496,1.35581,6.17684,0.686997,0,0
0.385324,1.36774,6.17084,0.720528,0,0
0.406223,1.3799,6.16472,0.752567,0,0
0.426302,1.39228,6.15849,0.783297,0,0
0.44565,1.40486,6.15214,0.812866,0,0
0.464343,1.41765,6.14569,0.841396,0,0
0.482442,1.43063,6.13914,0.86899,0,0
0.5,1.44381,6.13247,0.895734,0,0
0.517064,1.45716,6.12571,0.921703,0,0
0.533672,1.4707,6.11885,0.94696,0,0
0.54986,1.4844,6.11189,0.97156,0,0
0.565658,1.49827,6.10483,0.995553,0,0
0.581093,1.5123,6.09768,1.01898,0,0
0.596189,1.52648,6.09044,1.04188,0,0
0.610966,1.54081,6.08312,1.06429,0,0
0.625445,1.55527,6.0757,1.08624,0,0
0.639643,1.56987,6.0682,1.10775,0,0
0.653576,1.5846,6.06063,1.12885,0,0
0.667257,1.59945,6.05297,1.14957,0,0
0.680701,1.61441,6.04523,1.16991,0,0
0.693918,1.62947,6.03743,1.18991,0,0
0.706921,1.64465,6.02954,1.20958,0,0
0.719718,1.65991,6.02159,1.22894,0,0
0.732321,1.67527,6.01357,1.24799,0,0
0.744736,1.6907,6.00549,1.26676,0,0
0.756974,1.70622,5.99734,1.28525,0,0
0.769039,1.7218,5.98913,1.30348,0,0
0.780941,1.73745,5.98086,1.32146,0,0
0.792685,1.75315,5.97254,1.3392,0,0
0.804278,1.76891,5.96416,1.35671,0,0
0.815724,1.78471,5.95573,1.37399,0,0
0.827031,1.80055,5.94725,1.39106,0,0
0.838201,1.81642,5.93873,1.40792,0,0
0.849242,1.83231,5.93016,1.42459,0,0
0.860156,1.84823,5.92154,1.44106,0,0
0.870948,1.86416,5.91289,1.45734,0,0
0.881622,1.8801,5.9042,1.47344,0,0
0.892182,1.89603,5.89547,1.48937,0,0
0.902742,1.91197,5.88671,1.48937,0,0
0.913416,1.92789,5.87791,1.47344,0,0
0.924208,1.94379,5.86909,1.45734,0,0
0.935122,1.95966,5.86024,1.44106,0,0
0.946162,1.97551,5.85137,1.42459,0,0
0.957333,1.99132,5.84247,1.40792,0,0
0.968639,2.00708,5.83356,1.39106,0,0
0.980086,2.02279,5.82463,1.37399,0,0
0.991678,2.03845,5.81568,1.35671,0,0
1.00342,2.05405,5.80672,1.3392,0,0
1.01532,2.06957,5.79775,1.32146,0,0
1.02739,2.08502,5.78877,1.30348,0,0
1.03963,2.10039,5.77978,1.28525,0,0
1.05204,2.11568,5.77079,1.26676,0,0
1.06465,2.13086,5.7618,1.24799,0,0
1.07744,2.14595,5.75281,1.22894,0,0
1.09045,2.16093,5.74382,1.20958,0,0
1.10366,2.1758,5.73484,1.18991,0,0
1.11711,2.19055,5.72586,1.16991,0,0
1.13079,2.20517,5.7169,1.14957,0,0
1.14472,2.21966,5.70794,1.12885,0,0
1.15892,2.23401,5.699,1.10775,0,0
1.1734,2.24822,5.69008,1.08624,0,0
1.18817,2.26227,5.68118,1.06429,0,0
1.20327,2.27617,5.6723,1.04188,0,0
1.21871,2.28991,5.66344,1.01898,0,0
1.2345,2.30347,5.6546,0.995553,0,0
1.25069,2.31686,5.6458,0.97156,0,0
1.2673,2.33007,5.63702,0.94696,0,0
1.28436,2.34308,5.62828,0.921703,0,0
1.30192,2.35591,5.61957,0.895734,0,0
1.32002,2.36853,5.6109,0.86899,0,0
1.33871,2.38094,5.60227,0.841396,0,0
1.35806,2.39314,5.59368,0.812866,0,0
1.37814,2.40512,5.58514,0.783297,0,0
1.39904,2.41687,5.57664,0.752567,0,0
1.42087,2.42839,5.56819,0.720528,0,0
1.44376,2.43967,5.55979,0.686997,0,0
1.46789,2.4507,5.55145,0.651742,0,0
1.49349,2.46148,5.54315,0.614469,0,0
1.52085,2.472,5.53492,0.574783,0,0
1.55041,2.48226,5.52675,0.532145,0,0
1.58278,2.49225,5.51864,0.48578,0,0
1.61898,2.50196,5.51059,0.434495,0,0
1.66078,2.51138,5.50261,0.376284,0,0
1.71197,2.52052,5.4947,0.307234,0,0
1.78436,2.52936,5.48686,0.217247,0,0
1.78436,2.5379,5.4791,0,0,0
1.8568,2.52546,5.47846,0.217247,0,0
1.90803,2.51274,5.47783,0.307234,0,0
1.94985,2.49972,5.47719,0.376284,0,0
1.98607,2.48643,5.47656,0.434495,0,0
2.01847,2.47287,5.47593,0.48578,0,0
2.04804,2.45905,5.4753,0.532145,0,0
2.07542,2.44498,5.47467,0.574783,0,0
2.10104,2.43067,5.47405,0.614469,0,0
2.12518,2.41611,5.47343,0.651742,0,0
2.14809,2.40133,5.47281,0.686997,0,0
2.16993,2.38633,5.4722,0.720528,0,0
2.19084,2.37112,5.47159,0.752567,0,0
2.21094,2.35571,5.47099,0.783297,0,0
2.2303,2.3401,5.47039,0.812866,0,0
2.249,2.3243,5.4698,0.841396,0,0
2.26711,2.30833,5.46922,0.86899,0,0
