time,x_pos,y_pos,velocity,rotation,action
0,0.444177,7.23385,0,0,0
0.0723081,0.462687,7.23474,0.216924,0.499845,0
0.123438,0.481074,7.2355,0.306777,0.499845,0
0.165185,0.499337,7.23615,0.375724,0.499845,0
0.201339,0.51748,7.23668,0.433848,0.499845,0
0.233676,0.535502,7.2371,0.485057,0.499845,0
0.263196,0.553405,7.2374,0.531354,0.499845,0
0.290525,0.571189,7.23758,0.573928,0.499845,0
0.31609,0.588857,7.23765,0.613554,0.499845,0
0.340193,0.606408,7.2376,0.650773,0.499845,0
0.363059,0.623845,7.23743,0.685975,0.499845,0
0.38486,0.641168,7.23715,0.719456,0.499845,0
0.405734,0.658377,7.23675,0.751448,0.499845,0
0.425789,0.675476,7.23624,0.782131,0.499845,0
0.445114,0.692463,7.23561,0.811656,0.499845,0
0.463784,0.709341,7.23486,0.840144,0.499845,0
0.481861,0.726111,7.234,0.867697,0.499845,0
0.499398,0.742773,7.23302,0.894402,0.499845,0
0.516441,0.759329,7.23193,0.920332,0.499845,0
0.53303,0.77578,7.23072,0.945551,0.499845,0
0.549198,0.792126,7.22939,0.970115,0.499845,0
0.564977,0.80837,7.22795,0.994072,0.499845,0
0.580662,0.824512,7.22639,1,0.499845,0
0.596348,0.840552,7.22471,1,0.499845,0
0.612033,0.856493,7.22292,1,0.499845,0
0.627719,0.872336,7.22102,1,0.499845,0
0.643404,0.88808,7.219,1,0.499845,0
0.659089,0.903728,7.21686,1,0.499845,0
0.674775,0.919281,7.21461,1,0.499845,0
0.69046,0.934739,7.21224,1,0.499845,0
0.706145,0.950104,7.20976,1,0.499845,0
0.721831,0.965376,7.20716,1,0.499845,0
0.737516,0.980558,7.20445,1,0.499845,0
0.753202,0.995649,7.20162,1,0.499845,0
0.768887,1.01065,7.19867,1,0.499845,0
0.784572,1.02557,7.19561,1,0.499845,0
0.800258,1.04039,7.19244,1,0.499845,0
0.815943,1.05514,7.18915,1,0.499845,0
0.831628,1.06979,7.18574,1,0.499845,0
0.847314,1.08437,7.18222,1,0.499845,0
0.862999,1.09886,7.17859,1,0.499845,0
0.878685,1.11327,7.17484,1,0.499845,0
0.89437,1.1276,7.17098,1,0.499845,0
0.910055,1.14185,7.167,1,0.499845,0
0.925741,1.15602,7.1629,1,0.499845,0
0.941426,1.17011,7.15869,1,0.499845,0
0.957111,1.18413,7.15437,1,0.499845,0
0.972797,1.19808,7.14993,1,0.499845,0
0.988482,1.21195,7.14538,1,0.499845,0
1.00417,1.22574,7.14071,1,0.499845,0
1.01985,1.23947,7.13593,1,0.499845,0
1.03554,1.25313,7.13103,1,0.499845,0
1.05122,1.26671,7.12602,1,0.499845,0
1.06691,1.28023,7.1209,1,0.499845,0
1.08259,1.29368,7.11566,1,0.499845,0
1.09828,1.30706,7.1103,1,0.499845,0
1.11396,1.32038,7.10483,1,0.499845,0
1.12965,1.33363,7.09925,1,0.499845,0
1.14534,1.34683,7.09355,1,0.499845,0
1.16102,1.35996,7.08774,1,0.499845,0
1.17671,1.37302,7.08182,1,0.499845,0
1.19239,1.38603,7.07578,1,0.499845,0
1.20808,1.39898,7.06963,1,0.499845,0
1.22376,1.41187,7.06336,1,0.499845,0
1.23945,1.42471,7.05698,1,0.499845,0
1.25513,1.43749,7.05048,1,0.499845,0
1.27082,1.45022,7.04388,1,0.499845,0
1.2865,1.46289,7.03715,1,0.499845,0
