time,x_pos,y_pos,velocity,rotation,action
0,2.19,6.4,0,3.68439,0
0.0729617,2.19936,6.40884,0.218204,3.68439,0
0.124553,2.20926,6.41789,0.308587,3.68439,0
0.166678,2.21968,6.42716,0.377941,3.68439,0
0.203159,2.23059,6.43663,0.436409,3.68439,0
0.235788,2.24196,6.44628,0.48792,3.68439,0
0.267629,2.25377,6.4561,0.5,3.68439,0
0.29947,2.26598,6.46608,0.5,3.68439,0
0.331311,2.27856,6.4762,0.5,3.68439,0
0.363153,2.2915,6.48645,0.5,3.68439,0
0.394994,2.30476,6.49681,0.5,3.68439,0
0.426835,2.31831,6.50729,0.5,3.68439,0
0.458676,2.33213,6.51785,0.5,3.68439,0
0.490517,2.34618,6.52849,0.5,3.68439,0
0.522358,2.36045,6.53919,0.5,3.68439,0
0.554199,2.37489,6.54994,0.5,3.68439,0
0.58604,2.38949,6.56073,0.5,3.68439,0
0.617881,2.40422,6.57155,0.5,3.68439,0
0.649723,2.41904,6.58237,0.5,3.68439,0
0.681564,2.43393,6.59319,0.5,3.68439,0
0.713405,2.44887,6.604,0.5,3.68439,0
0.745246,2.46382,6.61478,0.5,3.68439,0
0.777087,2.47875,6.62551,0.5,3.68439,0
0.808928,2.49365,6.63619,0.5,3.68439,0
0.840769,2.50847,6.6468,0.5,3.68439,0
0.87261,2.52319,6.65732,0.5,3.68439,0
0.904451,2.53779,6.66775,0.5,3.68439,0
0.936293,2.55224,6.67807,0.5,3.68439,0
0.968134,2.5665,6.68827,0.5,3.68439,0
0.999975,2.58056,6.69833,0.5,3.68439,0
1.03182,2.59437,6.70825,0.5,3.68439,0
1.06366,2.60792,6.718,0.5,3.68439,0
1.0955,2.62118,6.72757,0.5,3.68439,0
1.12734,2.63411,6.73696,0.5,3.68439,0
1.15918,2.6467,6.74614,0.5,3.68439,0
1.19102,2.65891,6.75511,0.5,3.68439,0
1.22286,2.67071,6.76384,0.5,3.68439,0
1.2547,2.68208,6.77234,0.5,3.68439,0
1.28654,2.69299,6.78058,0.5,3.68439,0
1.31917,2.70341,6.78855,0.48792,3.68439,0
1.35566,2.71331,6.79624,0.436409,3.68439,0
1.39778,2.72266,6.80363,0.377941,3.68439,0
1.44937,2.73145,6.81072,0.308587,3.68439,0
1.52233,2.73963,6.81748,0.218204,3.68439,0
1.52233,2.74718,6.82391,0,3.68439,0
1.59484,2.73146,6.81321,0.218204,3.68439,0
1.64611,2.71612,6.80273,0.308587,3.68439,0
1.68797,2.70112,6.79244,0.377941,3.68439,0
1.72423,2.68645,6.78234,0.436409,3.68439,0
1.75665,2.6721,6.77241,0.48792,3.68439,0
1.7883,2.65805,6.76265,0.5,3.68439,0
1.81994,2.64429,6.75305,0.5,3.68439,0
1.85158,2.6308,6.74359,0.5,3.68439,0
1.88323,2.61756,6.73426,0.5,3.68439,0
1.91487,2.60455,6.72505,0.5,3.68439,0
1.94651,2.59177,6.71596,0.5,3.68439,0
1.97816,2.5792,6.70696,0.5,3.68439,0
2.0098,2.56682,6.69806,0.5,3.68439,0
2.04144,2.5546,6.68923,0.5,3.68439,0
2.07308,2.54255,6.68047,0.5,3.68439,0
2.10473,2.53064,6.67177,0.5,3.68439,0
2.13637,2.51886,6.66311,0.5,3.68439,0
2.16801,2.50718,6.65449,0.5,3.68439,0
2.19966,2.4956,6.64589,0.5,3.68439,0
2.2313,2.4841,6.6373,0.5,3.68439,0
2.26294,2.47265,6.62872,0.5,3.68439,0
2.29459,2.46126,6.62013,0.5,3.68439,0
2.32623,2.4499,6.61152,0.5,3.68439,0
2.35787,2.43855,6.60288,0.5,3.68439,0
2.38952,2.42719,6.59419,0.5,3.68439,0
2.42116,2.41583,6.58546,0.5,3.68439,0
2.4528,2.40442,6.57666,0.5,3.68439,0
2.48444,2.39297,6.56779,0.5,3.68439,0
2.51609,2.38145,6.55884,0.5,3.68439,0
2.54773,2.36985,6.54979,0.5,3.68439,0
2.57937,2.35816,6.54063,0.5,3.68439,0
2.61102,2.34635,6.53136,0.5,3.68439,0
2.64266,2.33441,6.52195,0.5,3.68439,0
2.6743,2.32233,6.51241,0.5,3.68439,0
2.70595,2.31008,6.50272,0.5,3.68439,0
2.73759,2.29766,6.49287,0.5,3.68439,0
2.76923,2.28505,6.48285,0.5,3.68439,0
2.80166,2.27222,6.47264,0.48792,3.68439,0
2.83791,2.25917,6.46224,0.436409,3.68439,0
2.87977,2.24588,6.45164,0.377941,3.68439,0
2.93105,2.23234,6.44082,0.308587,3.68439,0
3.00355,2.21852,6.42978,0.218204,3.68439,0
3.00355,2.20441,6.4185,0,3.68439,0
